CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CROATIAN	CROATIAN_HAPPINESS_MEAN	CROATIAN_ANGER_MEAN	CROATIAN_SADNESS_MEAN	CROATIAN_FEAR_MEAN	CROATIAN_DISGUST_MEAN	LINE_IN_SOURCE
1136	RABBIT	rabbit	kunić	3.45	1.31818181818182	1.0952380952381	1	1.2	916
1138	FAIRY	fairy	vila	2.6	1.13636363636364	1.19047619047619	1.1	1.14285714285714	2784
1139	LEOPARD	leopard	leopard	2.57142857142857	1.19047619047619	1.05	1.75	1.1	948
1141	PITY	pity	šteta	1.65	2.25	2.4	2.3	1.58064516129032	2365
1142	URINE	urine	mokraća	1.25	2.05	1.65	1.45	2.7	1127
1145	SWAMP	swamp	močvara	1.95	1.25	1.45	2.1	1.75	1124
1149	ORPHAN	orphan	siroče	1.5	1.68181818181818	3	2	1.71428571428571	2195
1151	VEIL	veil	veo	2.18181818181818	1.23809523809524	1	1.05	1.38095238095238	2767
1153	CATTLE	cattle	stoka	1.75	1.89473684210526	1.75	1.45	1.4	2379
1155	CAVE	cave	spilja	2.19047619047619	1.38095238095238	1.1	1.55	1.25	2314
1156	OPEN	open	otvoren	2.9	1.05	1.3	1.55	1.25	1497
1159	FART	fart	prdac	2.55	2.55	1.6	1.5	2.8	1769
1160	THIEF	thief	kradljivac	1.55	3.27272727272727	2.75	2.52173913043478	2.65	862
1164	BRIBE (SOMEBODY)	to bribe	podmićivati	1.95	2.9	2.26315789473684	1.85	2.65	1647
1169	OX	ox	vol	1.85	1.13636363636364	1.19047619047619	1.65	1.14285714285714	2821
1172	SHOOT	to shoot	pucati	1.75	2.54545454545455	2.5	2.82608695652174	2.25	1943
1182	NOISE	noise	buka	1.5	2.35	1.9	1.6	2.2	187
1183	PALM OF HAND	palm	palma	3.52631578947368	1.36363636363636	1.04761904761905	1	1.1	1518
1185	VULTURE	vulture	sup	2.31578947368421	1.31578947368421	1.33333333333333	1.27777777777778	1.31578947368421	2433
1187	GOOSE	goose	guska	2.1	1.4	1	1.2	1.3	547
1189	ULCER	ulcer	čir	1.8	2.18181818181818	2.5	2.52173913043478	3.2	229
1190	HARE	hare	zec	3.40909090909091	1.14285714285714	1	1	1.19047619047619	2949
1192	THREATEN	to threaten	prijetiti	1.2	3.10526315789474	2.35	3.25	2.63157894736842	1837
1193	STEAM	steam	para	1.8	1.09090909090909	1.25	1.17391304347826	1.3	1529
1199	WIFE	wife	supruga	3.23809523809524	1.47619047619048	1.3	1.05	1.45	2440
1200	HUSBAND	husband	suprug	3.1	1.15	1.15	1.15	1.19047619047619	2439
1207	YOUNG	young	mlad	3.40909090909091	1.04761904761905	1	1.05	1.14285714285714	1111
1208	CAT	cat	mačka	2.55	1.4	1.2	1.4	1.6	1022
1216	MOTHER	mother	majka	4.57142857142857	1.0952380952381	1.05	1.45	1.3	1033
1217	FATHER	father	otac	4.05263157894737	1.15	1.35	1	1.04761904761905	1481
1218	ROPE	rope	uže	1.71428571428571	1.52380952380952	1.5	1.4	1.4	2730
1219	WORM	worm	glista	2.05	1.72727272727273	1.61904761904762	1.66666666666667	2.2	489
122	CART	wagon	prikolica	1.75	1.1	1.3	1.2	1.35	1841
1220	TAIL	tail	rep	1.95238095238095	1.0952380952381	1.1	1.05	1.15	2033
1221	NOSE	nose	nos	1.7	1.1	1.4	1.2	1.45	1315
1222	PENIS	penis	penis	2.15	1.27272727272727	1.33333333333333	1.2	1.47619047619048	1563
1223	HEART	heart	srce	3.2	1.09090909090909	1.35	1.17391304347826	1.05	2336
1225	DAY (NOT NIGHT)	daylight	zora	3.15	1.05	1.2	1.1	1.09677419354839	3002
1227	BOARD	board	daska	1.77272727272727	1.33333333333333	1.15	1.1	1.0952380952381	266
1228	EARTH (SOIL)	earth	zemlja	2.75	1.15	1.25	1.2	1.05	2957
1229	OLD	old	star	1.7	1.3	1.75	2	1.25	2357
1230	DIRTY	dirty	prljav	1.4	2.25	2.2	1.65	2.65	1868
1231	NEW	new	nov	2.6	1	1.19047619047619	1.05	1.14285714285714	1319
1233	NIGHT	night	noć	3	1.3	1.65	1.25	1	1309
1234	SMOOTH	smooth	glatko	2.35	1	1.0952380952381	1.1	1.04761904761905	481
124	THORN	thorn	trn	1.59090909090909	1.61904761904762	1.45	1.8	1.52380952380952	2574
1243	WIDE	wide	opširan	2.4	1.77272727272727	1.19047619047619	1.33333333333333	1.2	1440
1245	BUTTER	butter	maslac	2.7	1.31818181818182	1	1.16666666666667	1.1	1054
1246	SMALL	small	malen	2.45	1.7	1.5	1.55	1.41935483870968	1036
125	SWEAT (SUBSTANCE)	sweat	znoj	1.65	1.55	1.5	1.6	2.7	2999
1252	HOUSE	house	kuća	3.9	1.1	1.2	1.15	1.25	903
1259	WEDDING	wedding	vjenčanje	3.5	1.25	1.3	1.5	1.9	2795
1261	SING	to sing	pjevati	3.75	1.36363636363636	1.0952380952381	1.54166666666667	1.15	1597
1262	BROTHER	brother	brat	3.7	1.0952380952381	1	1	1	161
1263	SISTER	sister	sestra	3.4	1.14285714285714	1.1	1.35	1.38095238095238	2164
1265	HIGH	high	uzvišen	2.35	1.7	1.6	1.4	1.45161290322581	2743
1266	BRIDE	bride	nevjesta	2.10526315789474	1.15	1.6	1.5	1.45	1301
1267	NARROW	narrow	uzak	2.1	1.59090909090909	1.45	1.43478260869565	1.3	2722
1271	DELIGHT	delight	uživanje	4.52631578947368	1.1	1.05	1.0952380952381	1.23809523809524	2734
1273	CANDLE	candle	svijeća	2.45	1.1	1.15	1.2	1.3	2458
1275	ANSWER	answer	odgovor	2.52380952380952	1.0952380952381	1.1	1.2	1.2	1366
1276	AUTUMN	autumn	jesen	2.95454545454545	1.14285714285714	1.4	1.1	1.14285714285714	713
1277	HAND	hand	dlan	2.27272727272727	1.19047619047619	1.05	1	1.14285714285714	334
1278	VOMIT	vomit	povraćanje	1.1	2.7	2.6	2.5	3.35	1749
1279	FAT (OBESE)	fatness	debljina	1.6	2	1.9	2.35	2.75	272
1280	FALL	to fall	pasti	1.5	1.63636363636364	1.95238095238095	2.15	1.38095238095238	1540
1281	PRISON	prison	tamnica	1.31818181818182	2.47619047619048	2.4	2.45	2.42857142857143	2485
1287	COLD	cold	hladan	2.05	1.77272727272727	2.2	1.73913043478261	1.55	562
1288	CAP	cap	šilterica	2.55	1.36363636363636	1.04761904761905	1.04166666666667	1	2186
1289	BABY	baby	beba	3.15	1.22727272727273	1.23809523809524	1.45	1.14285714285714	90
129	CHOKE	to choke	zadaviti	1.55	3.31818181818182	3.25	3.34782608695652	2.8	2862
1290	ELEPHANT	elephant	slon	3.15	1.05	1.1	1.0952380952381	1.23809523809524	2256
1292	BAD	bad	loš	1.45	2.8	2.9	2.45	2.15	1002
1293	MISTAKE	mistake	pogreška	1.8	1.86363636363636	2.45	2.08695652173913	1.75	1661
1295	STICK	stick	palica	1.76190476190476	1.2	1.35	1.5	1.30434782608696	1516
1297	LEG	leg	šapa	3.25	1.05	1.1	1.25	1.05	2127
1298	NEWSPAPER	newspaper	novine	2.3	1.6	1.4	1.25	1.2	1323
13	DECEIT	deceit	obmana	1.26315789473684	2.52941176470588	2.55	2.05	1.89473684210526	1342
1301	FOOT	foot	stopalo	2.1	1.5	1.33333333333333	1.41666666666667	1.5	2387
1302	FORK	fork	viljuška	1.95	1.1	1.26315789473684	1.35	1.8	2785
1303	FINGER	finger	prst	2.15	1.13636363636364	1.2	1.04347826086957	1.2	1927
1304	CHILD (YOUNG HUMAN)	kids	klinac	2.75	1.3	1.05	1.3	1.65	788
1306	QUEEN	queen	kraljica	2.5	1.05	1.1	1.15	1.5	866
1308	DOUBT	doubt	dvojba	1.75	1.75	1.7	1.7	1.75	390
131	FESTIVAL	party	fešta	4	1.09090909090909	1.45	1.1304347826087	1.25	438
1310	CLEVER	clever	lukav	2.6	1.45	1.45	1.47619047619048	1.42857142857143	1012
1312	FOX	fox	lisica	2.27272727272727	1.23809523809524	1.05	1.75	1.33333333333333	972
1313	MOON	moon	mjesec	3	1	1.25	1.25	1	1107
1314	QUIET	quiet	tih	1.85	1.4	1.65	1.2	1.3	2518
1315	RADIO	radio	radio	2.9	1.1	1.1	1.2	1.12903225806452	1960
1318	CHICKEN	chicken	kokoš	2.14285714285714	1.45	1.35	1.1	1.1304347826087	805
1319	COWARD	coward	kukavica	1.5	1.86363636363636	2.0952380952381	1.70833333333333	1.95	913
1320	APPLE	apple	jabuka	3.05	1.31818181818182	1.04761904761905	1.41666666666667	1	696
1321	BOTTLE	bottle	boca	2.65	1.15	1.35	1.4	1.21052631578947	132
1323	CLOCK	clock	sat	1.95454545454545	1.23809523809524	1	1	1.0952380952381	2135
1325	FRIEND	friend	prijatelj	4.05	1.0952380952381	1	1.15	1.0952380952381	1828
